(A1) Time: 9, Runtime: 9488, Length: 71.48985386504597, Nodes Expanded: 1186, Memory: 4409
(A2) Time: 36, Runtime: 36658, Length: 135.57590180780448, Nodes Expanded: 4613, Memory: 15127
(A3) Time: 8, Runtime: 14640, Length: 98.57716446627536, Nodes Expanded: 1830, Memory: 6553
(A4) Time: 5, Runtime: 12136, Length: 65.54683438038543, Nodes Expanded: 1517, Memory: 5380
(A5) Time: 1, Runtime: 6472, Length: 134.49531919022047, Nodes Expanded: 809, Memory: 3441
(A6) Time: 15, Runtime: 25428, Length: 158.53416292848968, Nodes Expanded: 3186, Memory: 10402
(A7) Time: 0, Runtime: 1992, Length: 118.70458146424481, Nodes Expanded: 261, Memory: 1258
(A8) Time: 26, Runtime: 31090, Length: 98.24873734152918, Nodes Expanded: 3890, Memory: 12960
(A9) Time: 6, Runtime: 16344, Length: 121.5455717219146, Nodes Expanded: 2043, Memory: 7011
(A10) Time: 1, Runtime: 856, Length: 44.913582233137674, Nodes Expanded: 107, Memory: 823
(B1) Time: 4, Runtime: 11552, Length: 70.15406742741906, Nodes Expanded: 1444, Memory: 5305
(B2) Time: 7, Runtime: 18467, Length: 160.5127163190832, Nodes Expanded: 2320, Memory: 7858
(B3) Time: 7, Runtime: 17954, Length: 138.98060056445897, Nodes Expanded: 2263, Memory: 7444
(B4) Time: 4, Runtime: 12168, Length: 98.30687219636727, Nodes Expanded: 1521, Memory: 5163
(B5) Time: 14, Runtime: 26347, Length: 182.7250269203127, Nodes Expanded: 3299, Memory: 11342
(B6) Time: 6, Runtime: 15471, Length: 103.22324125157827, Nodes Expanded: 1941, Memory: 6308
(B7) Time: 4, Runtime: 12120, Length: 159.9015421104774, Nodes Expanded: 1515, Memory: 5549
(B8) Time: 15, Runtime: 29160, Length: 123.7097852842877, Nodes Expanded: 3645, Memory: 11847
(B9) Time: 32, Runtime: 38108, Length: 170.3025612106917, Nodes Expanded: 4774, Memory: 15574
(B10) Time: 17, Runtime: 27778, Length: 153.6279400082329, Nodes Expanded: 3473, Memory: 11950
(C1) Time: 2, Runtime: 5151, Length: 155.11143571373725, Nodes Expanded: 651, Memory: 2729
(C2) Time: 3, Runtime: 8304, Length: 89.99658184869128, Nodes Expanded: 1038, Memory: 4000
(C3) Time: 39, Runtime: 42523, Length: 148.93250352560278, Nodes Expanded: 5324, Memory: 17420
(C4) Time: 1, Runtime: 2040, Length: 141.63656197958434, Nodes Expanded: 255, Memory: 1436
(C5) Time: 8, Runtime: 17066, Length: 144.8488725808138, Nodes Expanded: 2134, Memory: 7553
(C6) Time: 6, Runtime: 14558, Length: 116.6482322781408, Nodes Expanded: 1831, Memory: 6223
(C7) Time: 28, Runtime: 35907, Length: 155.12336751742552, Nodes Expanded: 4515, Memory: 15180
(C8) Time: 6, Runtime: 14600, Length: 132.0473573906487, Nodes Expanded: 1825, Memory: 6407
(C9) Time: 6, Runtime: 16707, Length: 122.79099923110715, Nodes Expanded: 2094, Memory: 7155
(C10) Time: 0, Runtime: 1448, Length: 54.65622292025696, Nodes Expanded: 181, Memory: 1048
(D1) Time: 15, Runtime: 25270, Length: 196.74063838044125, Nodes Expanded: 3180, Memory: 10658
(D2) Time: 6, Runtime: 15656, Length: 125.45852262581685, Nodes Expanded: 1957, Memory: 6752
(D3) Time: 3, Runtime: 9368, Length: 160.60712472806156, Nodes Expanded: 1171, Memory: 4572
(D4) Time: 30, Runtime: 37167, Length: 110.83694077712559, Nodes Expanded: 4659, Memory: 15193
(D5) Time: 2, Runtime: 7976, Length: 82.38198948877692, Nodes Expanded: 997, Memory: 3718
(D6) Time: 28, Runtime: 35171, Length: 166.44443532929105, Nodes Expanded: 4414, Memory: 14377
(D7) Time: 7, Runtime: 16063, Length: 160.68339635996992, Nodes Expanded: 2012, Memory: 7467
(D8) Time: 0, Runtime: 1285, Length: 66.53579541106434, Nodes Expanded: 164, Memory: 974
(D9) Time: 8, Runtime: 18522, Length: 135.85928022089936, Nodes Expanded: 2316, Memory: 7759
(D10) Time: 2, Runtime: 7792, Length: 118.65953275259353, Nodes Expanded: 974, Memory: 3836
(E1) Time: 0, Runtime: 2536, Length: 88.88934880165766, Nodes Expanded: 317, Memory: 1664
(E2) Time: 2, Runtime: 8416, Length: 124.1203191902204, Nodes Expanded: 1052, Memory: 3942
(E3) Time: 1, Runtime: 5728, Length: 119.62121202458748, Nodes Expanded: 716, Memory: 3205
(E4) Time: 51, Runtime: 48344, Length: 165.80687219636724, Nodes Expanded: 6089, Memory: 19452
(E5) Time: 0, Runtime: 1768, Length: 74.96257210636107, Nodes Expanded: 221, Memory: 1410
(E6) Time: 1, Runtime: 2744, Length: 89.0446788875476, Nodes Expanded: 343, Memory: 1916
(E7) Time: 2, Runtime: 6108, Length: 160.81118318204312, Nodes Expanded: 783, Memory: 3075
(E8) Time: 5, Runtime: 13496, Length: 143.5363184213277, Nodes Expanded: 1687, Memory: 5789
(E9) Time: 4, Runtime: 11235, Length: 108.9463293169971, Nodes Expanded: 1410, Memory: 5296
(E10) Time: 14, Runtime: 25016, Length: 189.48911421683866, Nodes Expanded: 3130, Memory: 10684

(Average) Time: 9.94, Runtime: 16443.88, Length: 125.20607604191908, Nodes Expanded: 2061.54, Memory: 7131.88
