(A1) Time: 19, Runtime: 6312, Length: 77.21, Nodes Expanded: 1111, Memory: 4916
(A2) Time: 5, Runtime: 5904, Length: 245.8, Nodes Expanded: 1126, Memory: 4409
(A3) Time: 4, Runtime: 4492, Length: 241.96, Nodes Expanded: 854, Memory: 3704
(A4) Time: 2, Runtime: 3312, Length: 154.67, Nodes Expanded: 586, Memory: 2649
(A5) Time: 3, Runtime: 6858, Length: 239.8, Nodes Expanded: 1198, Memory: 4302
(A6) Time: 3, Runtime: 6479, Length: 219.15, Nodes Expanded: 1118, Memory: 4002
(A7) Time: 2, Runtime: 3449, Length: 87.75, Nodes Expanded: 704, Memory: 3114
(A8) Time: 2, Runtime: 4720, Length: 231.66, Nodes Expanded: 822, Memory: 3563
(A9) Time: 2, Runtime: 4296, Length: 180.32, Nodes Expanded: 794, Memory: 2967
(A10) Time: 1, Runtime: 3416, Length: 49.39, Nodes Expanded: 644, Memory: 2891
(B1) Time: 2, Runtime: 3848, Length: 196.91, Nodes Expanded: 762, Memory: 3339
(B2) Time: 3, Runtime: 5135, Length: 229.85, Nodes Expanded: 950, Memory: 4231
(B3) Time: 3, Runtime: 5274, Length: 176.9, Nodes Expanded: 954, Memory: 3602
(B4) Time: 2, Runtime: 3112, Length: 155.24, Nodes Expanded: 570, Memory: 2379
(B5) Time: 3, Runtime: 8493, Length: 267.18, Nodes Expanded: 1514, Memory: 4699
(B6) Time: 2, Runtime: 3360, Length: 130.74, Nodes Expanded: 650, Memory: 2488
(B7) Time: 3, Runtime: 5768, Length: 194.47, Nodes Expanded: 1002, Memory: 3469
(B8) Time: 3, Runtime: 9488, Length: 150.33, Nodes Expanded: 1622, Memory: 5228
(B9) Time: 2, Runtime: 4704, Length: 231.66, Nodes Expanded: 882, Memory: 3865
(B10) Time: 3, Runtime: 6840, Length: 246.94, Nodes Expanded: 1214, Memory: 3899
(C1) Time: 5, Runtime: 11646, Length: 238.68, Nodes Expanded: 2058, Memory: 7246
(C2) Time: 4, Runtime: 7368, Length: 257.22, Nodes Expanded: 1362, Memory: 5657
(C3) Time: 4, Runtime: 8048, Length: 266.99, Nodes Expanded: 1414, Memory: 4926
(C4) Time: 3, Runtime: 4998, Length: 164.12, Nodes Expanded: 958, Memory: 3635
(C5) Time: 2, Runtime: 5198, Length: 235.12, Nodes Expanded: 930, Memory: 3517
(C6) Time: 1, Runtime: 3352, Length: 156.39, Nodes Expanded: 630, Memory: 2162
(C7) Time: 3, Runtime: 7448, Length: 260.25, Nodes Expanded: 1310, Memory: 4390
(C8) Time: 1, Runtime: 3552, Length: 162.28, Nodes Expanded: 654, Memory: 2320
(C9) Time: 2, Runtime: 4176, Length: 199.02, Nodes Expanded: 746, Memory: 3352
(C10) Time: 2, Runtime: 3760, Length: 59.9, Nodes Expanded: 644, Memory: 2921
(D1) Time: 2, Runtime: 5552, Length: 265.26, Nodes Expanded: 1050, Memory: 3367
(D2) Time: 2, Runtime: 5368, Length: 175.31, Nodes Expanded: 938, Memory: 3271
(D3) Time: 2, Runtime: 5183, Length: 185.58, Nodes Expanded: 946, Memory: 3634
(D4) Time: 3, Runtime: 7464, Length: 174.73, Nodes Expanded: 1322, Memory: 4908
(D5) Time: 1, Runtime: 3104, Length: 152.24, Nodes Expanded: 570, Memory: 2700
(D6) Time: 2, Runtime: 6496, Length: 267.66, Nodes Expanded: 1166, Memory: 4338
(D7) Time: 3, Runtime: 6690, Length: 283.2, Nodes Expanded: 1238, Memory: 4835
(D8) Time: 1, Runtime: 3615, Length: 138.76, Nodes Expanded: 678, Memory: 2556
(D9) Time: 2, Runtime: 4224, Length: 152.62, Nodes Expanded: 770, Memory: 2985
(D10) Time: 2, Runtime: 6009, Length: 159.89, Nodes Expanded: 1102, Memory: 3823
(E1) Time: 1, Runtime: 4640, Length: 180.56, Nodes Expanded: 818, Memory: 3457
(E2) Time: 2, Runtime: 4883, Length: 185.52, Nodes Expanded: 886, Memory: 3351
(E3) Time: 2, Runtime: 4888, Length: 193.45, Nodes Expanded: 886, Memory: 3275
(E4) Time: 2, Runtime: 7227, Length: 235.12, Nodes Expanded: 1250, Memory: 4324
(E5) Time: 2, Runtime: 3928, Length: 58.97, Nodes Expanded: 650, Memory: 3009
(E6) Time: 2, Runtime: 5872, Length: 207.07, Nodes Expanded: 1022, Memory: 3922
(E7) Time: 2, Runtime: 4921, Length: 177.2, Nodes Expanded: 894, Memory: 3222
(E8) Time: 1, Runtime: 3560, Length: 160.28, Nodes Expanded: 646, Memory: 2323
(E9) Time: 2, Runtime: 3928, Length: 184.68, Nodes Expanded: 710, Memory: 3310
(E10) Time: 3, Runtime: 6520, Length: 247.68, Nodes Expanded: 1158, Memory: 3890

(Average) Time: 2.7, Runtime: 5377.56, Length: 189.87, Nodes Expanded: 969.66, Memory: 3686.84
