(A1) Time: 3, Runtime: 1384, Length: 189.06323035590876, Nodes Expanded: 173, Memory: 1183
(A2) Time: 2, Runtime: 1448, Length: 232.18733752154176, Nodes Expanded: 181, Memory: 1315
(A3) Time: 1, Runtime: 1408, Length: 210.5539770553218, Nodes Expanded: 176, Memory: 1348
(A4) Time: 1, Runtime: 1288, Length: 157.10675490395764, Nodes Expanded: 161, Memory: 1006
(A5) Time: 1, Runtime: 1432, Length: 232.15091078124192, Nodes Expanded: 179, Memory: 1277
(A6) Time: 1, Runtime: 1312, Length: 185.0224926299332, Nodes Expanded: 164, Memory: 1204
(A7) Time: 0, Runtime: 840, Length: 106.81118318204305, Nodes Expanded: 105, Memory: 897
(A8) Time: 1, Runtime: 1376, Length: 226.67098641320575, Nodes Expanded: 172, Memory: 1249
(A9) Time: 1, Runtime: 1048, Length: 151.96372644585966, Nodes Expanded: 131, Memory: 970
(A10) Time: 1, Runtime: 856, Length: 54.14150429449554, Nodes Expanded: 107, Memory: 869
(B1) Time: 0, Runtime: 1024, Length: 158.0773176524348, Nodes Expanded: 128, Memory: 1082
(B2) Time: 1, Runtime: 1096, Length: 210.2705986422272, Nodes Expanded: 137, Memory: 1217
(B3) Time: 0, Runtime: 1128, Length: 168.92819253992693, Nodes Expanded: 141, Memory: 1005
(B4) Time: 1, Runtime: 768, Length: 123.58073580374348, Nodes Expanded: 96, Memory: 782
(B5) Time: 2, Runtime: 2488, Length: 255.91005576285667, Nodes Expanded: 311, Memory: 1803
(B6) Time: 0, Runtime: 664, Length: 117.21588193869759, Nodes Expanded: 83, Memory: 673
(B7) Time: 0, Runtime: 1728, Length: 225.06144468717477, Nodes Expanded: 216, Memory: 1435
(B8) Time: 0, Runtime: 1000, Length: 153.14392129246514, Nodes Expanded: 125, Memory: 844
(B9) Time: 1, Runtime: 1160, Length: 225.4136271003251, Nodes Expanded: 145, Memory: 1260
(B10) Time: 0, Runtime: 1648, Length: 244.8472400982391, Nodes Expanded: 206, Memory: 1421
(C1) Time: 1, Runtime: 1400, Length: 205.73580438450188, Nodes Expanded: 175, Memory: 1234
(C2) Time: 0, Runtime: 1744, Length: 233.3021913865876, Nodes Expanded: 218, Memory: 1395
(C3) Time: 1, Runtime: 3760, Length: 264.64407447862436, Nodes Expanded: 470, Memory: 2224
(C4) Time: 0, Runtime: 1072, Length: 152.04772721475248, Nodes Expanded: 134, Memory: 971
(C5) Time: 0, Runtime: 1391, Length: 188.16983207370714, Nodes Expanded: 175, Memory: 1270
(C6) Time: 0, Runtime: 1504, Length: 161.1186867076458, Nodes Expanded: 188, Memory: 1100
(C7) Time: 0, Runtime: 1592, Length: 242.92477438861823, Nodes Expanded: 199, Memory: 1381
(C8) Time: 0, Runtime: 808, Length: 141.8913959755234, Nodes Expanded: 101, Memory: 864
(C9) Time: 0, Runtime: 2040, Length: 202.22465709620843, Nodes Expanded: 255, Memory: 1415
(C10) Time: 0, Runtime: 792, Length: 67.76739712886254, Nodes Expanded: 99, Memory: 834
(D1) Time: 1, Runtime: 1288, Length: 245.96997628642902, Nodes Expanded: 161, Memory: 1275
(D2) Time: 0, Runtime: 1264, Length: 151.9551044745081, Nodes Expanded: 158, Memory: 1125
(D3) Time: 1, Runtime: 1096, Length: 175.6714645562818, Nodes Expanded: 137, Memory: 1048
(D4) Time: 1, Runtime: 1104, Length: 186.87515318615954, Nodes Expanded: 138, Memory: 1148
(D5) Time: 0, Runtime: 752, Length: 136.265764646288, Nodes Expanded: 94, Memory: 824
(D6) Time: 0, Runtime: 1304, Length: 224.94458851545033, Nodes Expanded: 163, Memory: 1360
(D7) Time: 1, Runtime: 1385, Length: 265.66667542753004, Nodes Expanded: 175, Memory: 1465
(D8) Time: 0, Runtime: 808, Length: 117.76892129246502, Nodes Expanded: 101, Memory: 772
(D9) Time: 0, Runtime: 880, Length: 148.41042558696057, Nodes Expanded: 110, Memory: 897
(D10) Time: 1, Runtime: 1008, Length: 147.4116882454314, Nodes Expanded: 126, Memory: 870
(E1) Time: 1, Runtime: 1136, Length: 121.39912511250797, Nodes Expanded: 142, Memory: 1090
(E2) Time: 0, Runtime: 1416, Length: 181.29126073623885, Nodes Expanded: 177, Memory: 1149
(E3) Time: 0, Runtime: 1136, Length: 136.6012895787834, Nodes Expanded: 142, Memory: 1167
(E4) Time: 1, Runtime: 1480, Length: 224.6169010389117, Nodes Expanded: 185, Memory: 1282
(E5) Time: 1, Runtime: 1056, Length: 94.06612549695431, Nodes Expanded: 132, Memory: 1031
(E6) Time: 1, Runtime: 1384, Length: 197.00357133746832, Nodes Expanded: 173, Memory: 1284
(E7) Time: 0, Runtime: 1080, Length: 172.46803743153555, Nodes Expanded: 135, Memory: 1026
(E8) Time: 1, Runtime: 824, Length: 150.629725676967, Nodes Expanded: 103, Memory: 916
(E9) Time: 1, Runtime: 1120, Length: 187.9348122046001, Nodes Expanded: 140, Memory: 1148
(E10) Time: 0, Runtime: 1600, Length: 234.0494045645147, Nodes Expanded: 200, Memory: 1461

(Average) Time: 0.6, Runtime: 1286.4, Length: 179.77895350665239, Nodes Expanded: 160.86, Memory: 1157.32

