(A1) Time: 5, Runtime: 2192, Length: 78.00572683030602, Nodes Expanded: 274, Memory: 1779
(A2) Time: 75, Runtime: 62137, Length: 142.11842520251423, Nodes Expanded: 7796, Memory: 24833
(A3) Time: 1, Runtime: 3220, Length: 117.38619215548079, Nodes Expanded: 404, Memory: 2394
(A4) Time: 1, Runtime: 3528, Length: 68.2097852842877, Nodes Expanded: 441, Memory: 2132
(A5) Time: 16, Runtime: 26676, Length: 136.80992052357263, Nodes Expanded: 3348, Memory: 11169
(A6) Time: 27, Runtime: 37663, Length: 129.92603704708915, Nodes Expanded: 4733, Memory: 14946
(A7) Time: 0, Runtime: 2744, Length: 57.148232278140824, Nodes Expanded: 349, Memory: 1748
(A8) Time: 2, Runtime: 5280, Length: 111.75141584463037, Nodes Expanded: 660, Memory: 3300
(A9) Time: 34, Runtime: 39809, Length: 123.71803743153548, Nodes Expanded: 4981, Memory: 15765
(A10) Time: 1, Runtime: 1437, Length: 55.6105428793702, Nodes Expanded: 180, Memory: 1215
(B1) Time: 1, Runtime: 3936, Length: 90.05534803276493, Nodes Expanded: 492, Memory: 2404
(B2) Time: 23, Runtime: 34383, Length: 140.1658909121352, Nodes Expanded: 4302, Memory: 14395
(B3) Time: 30, Runtime: 36854, Length: 133.20852262581684, Nodes Expanded: 4645, Memory: 14538
(B4) Time: 6, Runtime: 15799, Length: 91.44874631496661, Nodes Expanded: 1976, Memory: 6769
(B5) Time: 77, Runtime: 60665, Length: 178.81906550518744, Nodes Expanded: 7630, Memory: 23780
(B6) Time: 16, Runtime: 26296, Length: 97.59824125157826, Nodes Expanded: 3296, Memory: 10534
(B7) Time: 29, Runtime: 36640, Length: 151.21372644585978, Nodes Expanded: 4610, Memory: 14630
(B8) Time: 21, Runtime: 31168, Length: 99.47539674441619, Nodes Expanded: 3911, Memory: 12699
(B9) Time: 85, Runtime: 64284, Length: 158.44254134158479, Nodes Expanded: 8055, Memory: 25527
(B10) Time: 11, Runtime: 21898, Length: 145.1450756319642, Nodes Expanded: 2753, Memory: 9942
(C1) Time: 41, Runtime: 43466, Length: 158.06854249492383, Nodes Expanded: 5489, Memory: 17114
(C2) Time: 2, Runtime: 8896, Length: 102.91042558696073, Nodes Expanded: 1112, Memory: 4366
(C3) Time: 28, Runtime: 35902, Length: 137.5510370470893, Nodes Expanded: 4523, Memory: 15177
(C4) Time: 21, Runtime: 30418, Length: 140.25483399593904, Nodes Expanded: 3852, Memory: 12031
(C5) Time: 4, Runtime: 11350, Length: 121.30471670352964, Nodes Expanded: 1421, Memory: 5334
(C6) Time: 13, Runtime: 24087, Length: 121.47755223725399, Nodes Expanded: 3054, Memory: 9631
(C7) Time: 11, Runtime: 21770, Length: 132.895075631964, Nodes Expanded: 2737, Memory: 9567
(C8) Time: 7, Runtime: 17726, Length: 113.25357133746824, Nodes Expanded: 2218, Memory: 7368
(C9) Time: 67, Runtime: 56390, Length: 130.08415395505216, Nodes Expanded: 7093, Memory: 22221
(C10) Time: 1, Runtime: 4064, Length: 63.47970773009191, Nodes Expanded: 508, Memory: 2039
(D1) Time: 12, Runtime: 22864, Length: 159.84787142747496, Nodes Expanded: 2883, Memory: 10024
(D2) Time: 2, Runtime: 7912, Length: 100.62704717386592, Nodes Expanded: 989, Memory: 3919
(D3) Time: 93, Runtime: 66185, Length: 152.6374548139514, Nodes Expanded: 8336, Memory: 26067
(D4) Time: 6, Runtime: 16496, Length: 112.84025060946236, Nodes Expanded: 2062, Memory: 7544
(D5) Time: 9, Runtime: 19318, Length: 79.9864357137372, Nodes Expanded: 2423, Memory: 8365
(D6) Time: 73, Runtime: 59151, Length: 157.79761889578083, Nodes Expanded: 7413, Memory: 23530
(D7) Time: 20, Runtime: 30496, Length: 142.91068709209236, Nodes Expanded: 3864, Memory: 13195
(D8) Time: 1, Runtime: 5538, Length: 68.65863991822651, Nodes Expanded: 702, Memory: 2835
(D9) Time: 33, Runtime: 39218, Length: 134.98580438450176, Nodes Expanded: 4961, Memory: 15359
(D10) Time: 12, Runtime: 22679, Length: 98.09824125157839, Nodes Expanded: 2845, Memory: 9142
(E1) Time: 1, Runtime: 3928, Length: 64.94569798776169, Nodes Expanded: 491, Memory: 2462
(E2) Time: 40, Runtime: 42789, Length: 129.47844507162108, Nodes Expanded: 5392, Memory: 16745
(E3) Time: 0, Runtime: 4544, Length: 94.01918279759673, Nodes Expanded: 568, Memory: 2671
(E4) Time: 91, Runtime: 65639, Length: 164.53416292848988, Nodes Expanded: 8261, Memory: 25550
(E5) Time: 0, Runtime: 1224, Length: 57.97576656851998, Nodes Expanded: 153, Memory: 1148
(E6) Time: 1, Runtime: 5088, Length: 77.65585309615317, Nodes Expanded: 636, Memory: 2994
(E7) Time: 2, Runtime: 5922, Length: 77.0936687607709, Nodes Expanded: 753, Memory: 3373
(E8) Time: 6, Runtime: 14888, Length: 119.82032816365812, Nodes Expanded: 1867, Memory: 6665
(E9) Time: 3, Runtime: 8600, Length: 117.55319253992711, Nodes Expanded: 1075, Memory: 4296
(E10) Time: 24, Runtime: 33062, Length: 161.72287142747481, Nodes Expanded: 4159, Memory: 13594

(Average) Time: 21.7, Runtime: 24924.38, Length: 116.01451415252235, Nodes Expanded: 3133.52, Memory: 10376.5
