(A1) Time: 7, Runtime: 2808, Length: 165.14533713709534, Nodes Expanded: 351, Memory: 1826
(A2) Time: 5, Runtime: 7416, Length: 196.07884181603748, Nodes Expanded: 927, Memory: 3898
(A3) Time: 1, Runtime: 2456, Length: 184.12389052768893, Nodes Expanded: 307, Memory: 1994
(A4) Time: 1, Runtime: 2520, Length: 123.63098833543779, Nodes Expanded: 315, Memory: 1610
(A5) Time: 12, Runtime: 20760, Length: 164.93213370149903, Nodes Expanded: 2598, Memory: 9035
(A6) Time: 6, Runtime: 12768, Length: 152.03784258493008, Nodes Expanded: 1596, Memory: 5926
(A7) Time: 1, Runtime: 4912, Length: 122.2817459305202, Nodes Expanded: 614, Memory: 2524
(A8) Time: 1, Runtime: 3824, Length: 198.2259197546796, Nodes Expanded: 478, Memory: 2483
(A9) Time: 2, Runtime: 7616, Length: 152.70053198370073, Nodes Expanded: 952, Memory: 3578
(A10) Time: 0, Runtime: 2064, Length: 69.86206704297263, Nodes Expanded: 258, Memory: 1524
(B1) Time: 2, Runtime: 4456, Length: 186.34939559107704, Nodes Expanded: 557, Memory: 2422
(B2) Time: 1, Runtime: 3728, Length: 211.78011344794598, Nodes Expanded: 466, Memory: 2423
(B3) Time: 2, Runtime: 8992, Length: 166.58809511662426, Nodes Expanded: 1124, Memory: 4029
(B4) Time: 0, Runtime: 2504, Length: 126.24494936611666, Nodes Expanded: 313, Memory: 1503
(B5) Time: 7, Runtime: 15517, Length: 213.7712299714624, Nodes Expanded: 1943, Memory: 6891
(B6) Time: 1, Runtime: 3104, Length: 114.80166837632446, Nodes Expanded: 388, Memory: 1658
(B7) Time: 3, Runtime: 6224, Length: 157.33352262581695, Nodes Expanded: 778, Memory: 3182
(B8) Time: 3, Runtime: 11128, Length: 125.56486283848345, Nodes Expanded: 1391, Memory: 4696
(B9) Time: 1, Runtime: 2311, Length: 237.27149147659415, Nodes Expanded: 290, Memory: 1759
(B10) Time: 2, Runtime: 8360, Length: 226.90054095713825, Nodes Expanded: 1045, Memory: 4068
(C1) Time: 6, Runtime: 14288, Length: 181.3965997955662, Nodes Expanded: 1786, Memory: 6429
(C2) Time: 14, Runtime: 25432, Length: 196.84203627819625, Nodes Expanded: 3179, Memory: 10780
(C3) Time: 3, Runtime: 10264, Length: 221.99673503485084, Nodes Expanded: 1283, Memory: 4979
(C4) Time: 1, Runtime: 3024, Length: 148.40001794687493, Nodes Expanded: 378, Memory: 1744
(C5) Time: 2, Runtime: 7721, Length: 174.988482887603, Nodes Expanded: 988, Memory: 3959
(C6) Time: 0, Runtime: 1632, Length: 132.85496923522354, Nodes Expanded: 204, Memory: 1265
(C7) Time: 5, Runtime: 15176, Length: 224.55713370149914, Nodes Expanded: 1897, Memory: 6621
(C8) Time: 0, Runtime: 1496, Length: 154.998629022557, Nodes Expanded: 187, Memory: 1126
(C9) Time: 2, Runtime: 8712, Length: 180.72287142747447, Nodes Expanded: 1089, Memory: 4018
(C10) Time: 1, Runtime: 1752, Length: 77.85318356648945, Nodes Expanded: 219, Memory: 1333
(D1) Time: 1, Runtime: 3024, Length: 242.31654018824537, Nodes Expanded: 378, Memory: 2057
(D2) Time: 0, Runtime: 2448, Length: 149.01056082624524, Nodes Expanded: 306, Memory: 1612
(D3) Time: 1, Runtime: 4838, Length: 178.09850275671013, Nodes Expanded: 610, Memory: 2494
(D4) Time: 0, Runtime: 1728, Length: 145.53568709209247, Nodes Expanded: 216, Memory: 1574
(D5) Time: 0, Runtime: 1000, Length: 143.98543456039812, Nodes Expanded: 125, Memory: 938
(D6) Time: 1, Runtime: 1880, Length: 208.48506473629436, Nodes Expanded: 235, Memory: 1612
(D7) Time: 1, Runtime: 2449, Length: 263.7546173579948, Nodes Expanded: 323, Memory: 1857
(D8) Time: 1, Runtime: 3808, Length: 128.00877515751097, Nodes Expanded: 476, Memory: 1951
(D9) Time: 1, Runtime: 3877, Length: 148.54951288348656, Nodes Expanded: 494, Memory: 2045
(D10) Time: 1, Runtime: 5304, Length: 114.41994039267924, Nodes Expanded: 663, Memory: 2605
(E1) Time: 1, Runtime: 4040, Length: 139.79798871988424, Nodes Expanded: 505, Memory: 2253
(E2) Time: 3, Runtime: 10746, Length: 139.9156294070034, Nodes Expanded: 1347, Memory: 4854
(E3) Time: 2, Runtime: 7024, Length: 120.08720228225718, Nodes Expanded: 878, Memory: 3810
(E4) Time: 7, Runtime: 18415, Length: 203.70447314527263, Nodes Expanded: 2303, Memory: 7907
(E5) Time: 0, Runtime: 1072, Length: 58.060028842544405, Nodes Expanded: 134, Memory: 1025
(E6) Time: 3, Runtime: 11223, Length: 165.12426035179246, Nodes Expanded: 1407, Memory: 5176
(E7) Time: 1, Runtime: 6362, Length: 172.36753236814724, Nodes Expanded: 823, Memory: 2980
(E8) Time: 0, Runtime: 992, Length: 148.87820151336456, Nodes Expanded: 124, Memory: 971
(E9) Time: 0, Runtime: 1616, Length: 176.54330791010457, Nodes Expanded: 202, Memory: 1401
(E10) Time: 0, Runtime: 1840, Length: 231.11589988557273, Nodes Expanded: 230, Memory: 1602

(Average) Time: 2.32, Runtime: 6333.02, Length: 165.35989975712164, Nodes Expanded: 793.6, Memory: 3200.14
