(A1) Time: 2, Runtime: 936, Length: 219.78899692442866, Nodes Expanded: 117, Memory: 978
(A2) Time: 2, Runtime: 1224, Length: 264.3980156401965, Nodes Expanded: 153, Memory: 1260
(A3) Time: 1, Runtime: 968, Length: 243.33609280994582, Nodes Expanded: 121, Memory: 1114
(A4) Time: 0, Runtime: 664, Length: 157.32947314527274, Nodes Expanded: 83, Memory: 755
(A5) Time: 1, Runtime: 1208, Length: 259.35307524751727, Nodes Expanded: 151, Memory: 1201
(A6) Time: 0, Runtime: 1000, Length: 230.17871555019008, Nodes Expanded: 125, Memory: 1038
(A7) Time: 0, Runtime: 888, Length: 165.03479425772534, Nodes Expanded: 111, Memory: 878
(A8) Time: 0, Runtime: 960, Length: 231.6614716074873, Nodes Expanded: 120, Memory: 1115
(A9) Time: 0, Runtime: 760, Length: 189.25104602052647, Nodes Expanded: 95, Memory: 823
(A10) Time: 0, Runtime: 872, Length: 182.52438661763955, Nodes Expanded: 109, Memory: 851
(B1) Time: 0, Runtime: 832, Length: 200.5686956810831, Nodes Expanded: 104, Memory: 980
(B2) Time: 0, Runtime: 1056, Length: 235.75309319439222, Nodes Expanded: 132, Memory: 1209
(B3) Time: 1, Runtime: 944, Length: 190.4152595828996, Nodes Expanded: 118, Memory: 963
(B4) Time: 0, Runtime: 616, Length: 141.66005576285679, Nodes Expanded: 77, Memory: 745
(B5) Time: 0, Runtime: 1192, Length: 277.17098641320575, Nodes Expanded: 149, Memory: 1240
(B6) Time: 0, Runtime: 624, Length: 126.79215357060588, Nodes Expanded: 78, Memory: 668
(B7) Time: 0, Runtime: 1176, Length: 224.1563761064164, Nodes Expanded: 147, Memory: 1206
(B8) Time: 1, Runtime: 848, Length: 177.33441546018383, Nodes Expanded: 106, Memory: 784
(B9) Time: 0, Runtime: 1048, Length: 231.65626778744434, Nodes Expanded: 131, Memory: 1224
(B10) Time: 1, Runtime: 1240, Length: 275.3416664540923, Nodes Expanded: 155, Memory: 1284
(C1) Time: 1, Runtime: 1360, Length: 265.03899692442866, Nodes Expanded: 170, Memory: 1260
(C2) Time: 0, Runtime: 1072, Length: 275.19979233549304, Nodes Expanded: 134, Memory: 1185
(C3) Time: 0, Runtime: 1304, Length: 289.73317074858795, Nodes Expanded: 163, Memory: 1282
(C4) Time: 0, Runtime: 1024, Length: 171.74316369738244, Nodes Expanded: 128, Memory: 978
(C5) Time: 1, Runtime: 913, Length: 246.26628765655104, Nodes Expanded: 125, Memory: 1046
(C6) Time: 0, Runtime: 728, Length: 159.01576464628795, Nodes Expanded: 91, Memory: 766
(C7) Time: 1, Runtime: 1216, Length: 271.3269478283311, Nodes Expanded: 152, Memory: 1216
(C8) Time: 1, Runtime: 784, Length: 156.1251531861595, Nodes Expanded: 98, Memory: 858
(C9) Time: 0, Runtime: 824, Length: 201.70993847044707, Nodes Expanded: 103, Memory: 953
(C10) Time: 1, Runtime: 832, Length: 182.7529400082327, Nodes Expanded: 104, Memory: 779
(D1) Time: 1, Runtime: 1072, Length: 264.02112165249014, Nodes Expanded: 134, Memory: 1165
(D2) Time: 0, Runtime: 776, Length: 175.1410261514195, Nodes Expanded: 97, Memory: 882
(D3) Time: 1, Runtime: 1088, Length: 189.6548519428143, Nodes Expanded: 136, Memory: 1113
(D4) Time: 0, Runtime: 1048, Length: 239.46272529252033, Nodes Expanded: 131, Memory: 1111
(D5) Time: 1, Runtime: 688, Length: 152.24368670764585, Nodes Expanded: 86, Memory: 814
(D6) Time: 0, Runtime: 1120, Length: 273.804500065585, Nodes Expanded: 140, Memory: 1275
(D7) Time: 1, Runtime: 1254, Length: 296.0685873621111, Nodes Expanded: 171, Memory: 1338
(D8) Time: 1, Runtime: 784, Length: 142.69227983645303, Nodes Expanded: 98, Memory: 790
(D9) Time: 0, Runtime: 896, Length: 155.99926035179237, Nodes Expanded: 112, Memory: 925
(D10) Time: 0, Runtime: 832, Length: 176.106493398826, Nodes Expanded: 104, Memory: 788
(E1) Time: 0, Runtime: 1016, Length: 188.42819253992698, Nodes Expanded: 127, Memory: 1033
(E2) Time: 1, Runtime: 920, Length: 208.4113184213276, Nodes Expanded: 115, Memory: 905
(E3) Time: 1, Runtime: 1104, Length: 200.10496923522354, Nodes Expanded: 138, Memory: 1111
(E4) Time: 0, Runtime: 1216, Length: 268.2010549939639, Nodes Expanded: 152, Memory: 1213
(E5) Time: 0, Runtime: 1064, Length: 58.974242404917504, Nodes Expanded: 133, Memory: 1027
(E6) Time: 1, Runtime: 1256, Length: 218.9680374315354, Nodes Expanded: 157, Memory: 1193
(E7) Time: 1, Runtime: 1072, Length: 184.88834764831853, Nodes Expanded: 134, Memory: 1051
(E8) Time: 0, Runtime: 776, Length: 160.28442443362152, Nodes Expanded: 97, Memory: 883
(E9) Time: 0, Runtime: 912, Length: 185.57757915756645, Nodes Expanded: 114, Memory: 1075
(E10) Time: 0, Runtime: 1208, Length: 248.6421804909185, Nodes Expanded: 151, Memory: 1309

(Average) Time: 0.46, Runtime: 984.3, Length: 208.6058414570998, Nodes Expanded: 123.54, Memory: 1032.8
